title,context,price,upload_date,location,status,imgUrl,url
아이폰15팝니다,"배터리100프로
구성품 박스 충전기등
최초개통 6.1
기스 하자 없음 사용용도 서브폰 으로삿으나 사정상 판매해요",900000,2024.06.05,익산시 신동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/f8dd547b6aeadb0ce13f374dbe9d5dfefe89aef65e5126499aa71e09f91426d1.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870108
"
아이폰7 플러스 케이스,"사진 참고 부탁드리며 새상품 입니다.
반품.환불x",1000,2024.06.05,성남시 분당구 야탑동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/53f2f0a60d6166826cd30bf76f897356638daaf534df49c05b4bffea4319b5d6_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870266
"
아이폰14 투명케이스 새제품 판매,"아이폰 14 투명 케이스 새제품 판매해요
두개 5천원",5000,2024.06.05,오산시 궐동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/1a5ad9e01fd0964e3361b7f754d7dc12608be4ee2f6521410a0f07cc43a23a57.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869531
"
아이폰11프로 256기가 실버 공기계 A급 11 pro 팝니다,"아이폰11프로 256기가 실버 공기계 A급 11 pro 팝니다
공기계로 선택약정, 확정기변 다 가능해요
배터리효율은 79%입니다
애지중지 사용하여 액정에 전혀 없는 S급이고 본품도 실버치고 상태 좋아요
박스는 있어요(케이블x)
31만원에 싸게 팝니다.",310000,2024.06.05,남동구 구월동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/fe1fd303641926480fdc9797f5e6226eb14a40e55369a82e7387710618bb02d3.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869560
"
아이폰6s,"아이폰6s 32기가 실버 배터리100
사설수리했습니다 상태는 완전 좋습니다
구매하실분 챗주세요",120000,2024.06.05,전주시 완산구 경원동3가,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/7610bcbad11c82bea63b9f89180a7e8764b66e0843671c9de4f2dc2a650729b8_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869578
"
아이폰정품케이블,"미사용입니다
C to 8",8000,2024.06.05,달성군 현풍읍,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/076d6e125852e6c4092c84cad0b1ee9d72b96059d276bd277764233a3e565508.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869731
"
아이폰11프로 256기가 실버 공기계 A급 11 pro 팝니다,"아이폰11프로 256기가 실버 공기계 A급 11 pro 팝니다
공기계로 선택약정, 확정기변 다 가능해요
배터리효율은 79%입니다
애지중지 사용하여 액정에 전혀 없는 S급이고 본품도 실버치고 상태 좋아요
박스는 있어요(케이블x)
31만원에 싸게 팝니다.",310000,2024.06.05,남동구 논현동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/5dcfa1d8a169b7628a26c3c3ad11b6f3ea70398ba376cb3e7ab6258ef9dd7745.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869776
"
아이폰5 실버 32GB,"소장용으로 쭉 보관했어용!
카카오톡 지원 안되는걸로 압니당
사진 옮기실땐 에어드랍 이용하셔야해요!
기기 단품 거래구 건대 로데오
이삭토스트 앞에서 직거래 합니다~!!",100000,2024.06.05,광진구 자양제4동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/baea08f93f1f6f0f8191d69254fe28f4122c04d7c64c5c1bef1f5c7e3c1198bf.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869028
"
아이폰 11 프로 256 화이트,"화면깨짐 x , 붙어있는 강화유리에 금입니다.
모서리 찍힘 x
생활기스 있습니다
배터리 성능 77%
초기화 완료 되어있습니다.
폰박스 ,아이폰 정품 이이폰 같이 드립니다
필요하시면 사용중이던 케이스 같이 드리겠습니다",320000,2024.06.05,달서구 이곡동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/328ba863a4912c634482156c4fc15bef56248ac4be292c2bb08b56b30ae8e6c1_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869080
"
아이폰 12프로 박스 충전 케이블 설명서 애플 스티커,"아이폰 12프로 골드 박스
충전 케이블 설명서 스티커 등,
구성품 그대로 에요
직거래 구로 3동,
반값택배 2천, 일반택배 4천",10000,2024.06.05,구로구 구로제3동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/0e25dcb9a37dbf9e8d9c0f680a5beacc22a393fc1af7192108ae5ba2048a079e.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869111
"
